"","Sample ID","Analyte","Vista","Eurofins","diff","percent_diff"
"313","JBA079-SW-DOWN-042221","4:2 FTS",NA,4.9,NA,NA
"314","JBA079-SW-DOWN-042221","8:2 FTS",NA,6.7,NA,NA
"315","JBA080-SW-EXIT-042221","PFDA",NA,1.3,NA,NA
"316","JBA080-SW-EXIT-042221","8:2 FTS",NA,6.6,NA,NA
"317","JBA-092-SW-SPILL-042821","PFDA",NA,1.3,NA,NA
"318","JBA-092-SW-SPILL-042821","4:2 FTS",NA,4.9,NA,NA
"319","JBA-093-SW-RIPP-042821","PFDA",NA,1.5,NA,NA
"320","JBA-094-SW-DOWN-042821","PFDA",NA,1.5,NA,NA
"321","JBA-095-SW-EXIT-042821","PFDA",NA,1.5,NA,NA
"322","JBA-095-SW-EXIT-042821","4:2 FTS",NA,4.8,NA,NA
"323","JBA107-SW-SPILL-06232021","PFDA",NA,2.5,NA,NA
"324","JBA108-SW-RIPP-06232021","PFDA",NA,2.8,NA,NA
"325","JBA108-SW-RIPP-06232021","4:2 FTS",NA,4.6,NA,NA
"326","JBA109-SW-DOWN-06232021","PFDA",NA,2.2,NA,NA
